"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","internet","compani","servic","servic","time","servic","they","good","problem","price"
"2","phone","provid","expens","custom","alway","great","rate","servic","year","high"
"3","slow","area","good","poor","call","custom","bill","pretti","issu","the"
"4","speed","better","reliabl","excel","cabl","qualiti","keep","outag","verizon","cost"
"5","fast","best","reason","bad","work","product","bundl","coverag","never","fair"
"6","att","recommend","they","horribl","help","satisfi","channel","valu","mani","their"
"7","sometim","realli","price","love","long","terribl","month","overal","frontier","service"
"8","connect","choic","too","support","fix","decent","offer","rare","have","veri"
"9","telephon","avail","consist","depend","well","their","pay","pricey","experi","and"
"10","goe","comcast","littl","unreli","even","hard","give","its","use","littl"
